TS,C1:M200.r2521[0],C2:M200.r2665,C3:M200.r78[0],Label
2020-08-04 13:36:11.543561,45001.0,45000.0,-1.155101,1
2020-08-04 13:36:11.549468,45001.0,45000.0,-1.2005270000000001,1
2020-08-04 13:36:11.554476,45001.0,45000.0,-1.146313,1
2020-08-04 13:36:11.559536,45000.0,45000.0,-1.116797,1
2020-08-04 13:36:11.564616,45000.0,45000.0,-1.156659,1
2020-08-04 13:36:11.570610,45000.0,45000.0,-1.10487,1
2020-08-04 13:36:11.575616,45000.0,45000.0,-1.0905200000000002,1
2020-08-04 13:36:11.582537,44999.0,45000.0,-1.083318,1
2020-08-04 13:36:11.588543,44999.0,45000.0,-1.041056,1
2020-08-04 13:36:11.594500,44999.0,45000.0,-1.0467030000000002,1
2020-08-04 13:36:11.599541,44999.0,45000.0,-1.04674,1
2020-08-04 13:36:11.605501,44999.0,45000.0,-0.9502120000000001,1
2020-08-04 13:36:11.612476,44999.0,45000.0,-1.025227,1
2020-08-04 13:36:11.617544,44998.0,45000.0,-1.019722,1
2020-08-04 13:36:11.622617,44998.0,45000.0,-0.9884860000000001,1
2020-08-04 13:36:11.629492,44998.0,45000.0,-1.006174,1
2020-08-04 13:36:11.634615,44998.0,45000.0,-0.958298,1
2020-08-04 13:36:11.641547,44998.0,45000.0,-0.97026,1
2020-08-04 13:36:11.647620,44998.0,45000.0,-0.916882,1
2020-08-04 13:36:11.654501,44997.0,45000.0,-0.901625,1
2020-08-04 13:36:11.661480,44997.0,45000.0,-0.9385540000000001,1
2020-08-04 13:36:11.666531,44997.0,45000.0,-0.956191,1
2020-08-04 13:36:11.671533,44997.0,45000.0,-0.9016209999999999,1
2020-08-04 13:36:11.678475,44997.0,45000.0,-0.891594,1
2020-08-04 13:36:11.683616,44997.0,45000.0,-0.895508,1
2020-08-04 13:36:11.689618,44997.0,45000.0,-0.888289,1
2020-08-04 13:36:11.695510,44997.0,45000.0,-0.8541200000000001,1
2020-08-04 13:36:11.700618,44997.0,45000.0,-0.8837440000000001,1
2020-08-04 13:36:11.706604,44997.0,45000.0,-0.8598370000000001,1
2020-08-04 13:36:11.712603,44996.0,45000.0,-0.8683930000000001,1
2020-08-04 13:36:11.717614,44996.0,45000.0,-0.8067840000000001,1
2020-08-04 13:36:11.723473,44996.0,45000.0,-0.859058,1
2020-08-04 13:36:11.728473,44996.0,45000.0,-0.7988649999999999,1
2020-08-04 13:36:11.733562,44996.0,45000.0,-0.831151,1
2020-08-04 13:36:11.739472,44996.0,45000.0,-0.803032,1
2020-08-04 13:36:11.744704,44996.0,45000.0,-0.818437,1
2020-08-04 13:36:11.749759,44996.0,45000.0,-0.853419,1
2020-08-04 13:36:11.754820,44995.0,45000.0,-0.770297,1
2020-08-04 13:36:11.759826,44995.0,45000.0,-0.857453,1
2020-08-04 13:36:11.765965,44995.0,45000.0,-0.808719,1
2020-08-04 13:36:11.771816,44995.0,45000.0,-0.819948,1
